id,IATACode,region,country,name,lat,lon,elevation,bearing,indicator
YDGU,   ,SPA,YM,DEGRUSSA,-25.5575,119.2875,1823.0,1.0,C
YDKG,   ,SPA,YM,DUKETON GOLD,-27.601944,122.333889,1770.0,2.0,C
YDKI,DKI,SPA,YB,DUNK I,-17.9375,146.140556,20.0,7.0,C
YDLO,   ,SPA,YM,DARLOT,-27.873611,121.271667,1513.0,1.0,C
YDLQ,DNQ,SPA,YM,DENILIQUIN,-35.559444,144.946389,316.0,11.0,C
YDLT,DDN,SPA,YB,DELTA DOWNS,-16.991667,141.316667,50.0,6.0,C
YDLV,DLV,SPA,YB,DELISSAVILLE,-12.551111,130.686667,112.0,3.0,C
YDMG,DMD,SPA,YB,DOOMADGEE,-17.940278,138.821667,159.0,5.0,C
YDNI,   ,SPA,YB,DARNLEY ISLAND,-9.577778,143.779167,220.0,5.0,C
YDOC,   ,SPA,YM,DOCHRA (MILITARY),-32.650556,151.208056,228.0,12.0,M
YDOD,   ,SPA,YM,DONALD,-36.360278,143.0075,409.0,10.0,C
YDOP,   ,SPA,YB,DONNINGTON AIRPARK,-19.601667,146.841667,250.0,7.0,C
YDOR,DRD,SPA,YB,DORUNDA STATION,-16.554167,141.824167,90.0,6.0,C
YDPD,DVP,SPA,YB,DAVENPORT DOWNS,-24.15,141.108333,312.0,7.0,C
YDPO,DPO,SPA,YM,DEVONPORT,-41.169722,146.430278,33.0,14.0,C
YDRD,   ,SPA,YB,DRYSDALE RIVER,-15.713056,126.381389,1180.0,3.0,C
YDRH,DHD,SPA,YB,DURHAM DOWNS,-27.075,141.9,380.0,8.0,C
YDRI,DRR,SPA,YB,DURRIE,-25.685,140.228333,190.0,7.0,C
YDRN,   ,SPA,YM,DROUIN,-38.208889,145.829444,330.0,12.0,C
YDUN,   ,SPA,YB,DUNWICH,-27.516667,153.428333,250.0,11.0,C
YDVR,DKV,SPA,YM,DOCKER RIVER,-24.858333,129.123333,1931.0,4.0,C
YDWF,   ,SPA,YB,DELAMERE,-15.746944,131.919444,730.0,3.0,M
YDYS,DYA,SPA,YB,DYSART,-22.622222,148.363889,682.0,8.0,C
YECB,   ,SPA,YB,ECO BEACH,-18.323333,122.126667,6.0,2.0,C
YECH,ECH,SPA,YM,ECHUCA,-36.157222,144.761944,323.0,11.0,C
YEJI,   ,SPA,YM,EAST JAURDI,-30.769444,120.311944,1448.0,1.0,C
YELD,ELC,SPA,YB,ELCHO I,-12.019444,135.570556,101.0,4.0,C
YELN,   ,SPA,YM,ELLISTON,-33.638333,134.9,20.0,6.0,C
YEMG,   ,SPA,YB,EROMANGA,-26.7,143.266667,545.0,8.0,C
YEML,EMD,SPA,YB,EMERALD,-23.5675,148.179167,624.0,9.0,C
YEMP,   ,SPA,YB,EMU PARK,-23.256667,150.813333,44.0,9.0,C
